2024-01-23 09:17:59.5095 | DESKTOP-9VG6H90 | 29344 | iisexpress | Info | LoggerService.LoggerManager | Here is info message from the controller.
2024-01-23 09:17:59.5831 | DESKTOP-9VG6H90 | 29344 | iisexpress | Debug | LoggerService.LoggerManager | Here is debug message from the controller.
2024-01-23 09:17:59.5831 | DESKTOP-9VG6H90 | 29344 | iisexpress | Warn | LoggerService.LoggerManager | Here is warn message from the controller.
2024-01-23 09:17:59.5831 | DESKTOP-9VG6H90 | 29344 | iisexpress | Error | LoggerService.LoggerManager | Here is error message from the controller.
2024-01-23 09:19:12.8306 | DESKTOP-9VG6H90 | 29344 | iisexpress | Info | LoggerService.LoggerManager | Here is info message from the controller.
2024-01-23 09:19:12.8306 | DESKTOP-9VG6H90 | 29344 | iisexpress | Debug | LoggerService.LoggerManager | Here is debug message from the controller.
2024-01-23 09:19:12.8306 | DESKTOP-9VG6H90 | 29344 | iisexpress | Warn | LoggerService.LoggerManager | Here is warn message from the controller.
2024-01-23 09:19:12.8306 | DESKTOP-9VG6H90 | 29344 | iisexpress | Error | LoggerService.LoggerManager | Here is error message from the controller.
2024-01-23 09:45:55.1001 | DESKTOP-9VG6H90 | 29344 | iisexpress | Info | LoggerService.LoggerManager | Here is info message from the controller.
2024-01-23 09:45:55.1001 | DESKTOP-9VG6H90 | 29344 | iisexpress | Debug | LoggerService.LoggerManager | Here is debug message from the controller.
2024-01-23 09:45:55.1001 | DESKTOP-9VG6H90 | 29344 | iisexpress | Warn | LoggerService.LoggerManager | Here is warn message from the controller.
2024-01-23 09:45:55.1001 | DESKTOP-9VG6H90 | 29344 | iisexpress | Error | LoggerService.LoggerManager | Here is error message from the controller.
2024-01-23 09:46:55.5751 | DESKTOP-9VG6H90 | 29344 | iisexpress | Info | LoggerService.LoggerManager | Here is info message from the controller.
2024-01-23 09:46:55.5751 | DESKTOP-9VG6H90 | 29344 | iisexpress | Debug | LoggerService.LoggerManager | Here is debug message from the controller.
2024-01-23 09:46:55.5751 | DESKTOP-9VG6H90 | 29344 | iisexpress | Warn | LoggerService.LoggerManager | Here is warn message from the controller.
2024-01-23 09:46:55.5751 | DESKTOP-9VG6H90 | 29344 | iisexpress | Error | LoggerService.LoggerManager | Here is error message from the controller.
2024-01-23 09:52:21.4149 | DESKTOP-9VG6H90 | 29344 | iisexpress | Info | LoggerService.LoggerManager | Here is info message from the controller.
2024-01-23 09:52:21.4149 | DESKTOP-9VG6H90 | 29344 | iisexpress | Debug | LoggerService.LoggerManager | Here is debug message from the controller.
2024-01-23 09:52:21.4149 | DESKTOP-9VG6H90 | 29344 | iisexpress | Warn | LoggerService.LoggerManager | Here is warn message from the controller.
2024-01-23 09:52:21.4149 | DESKTOP-9VG6H90 | 29344 | iisexpress | Error | LoggerService.LoggerManager | Here is error message from the controller.
2024-01-23 09:53:28.3687 | DESKTOP-9VG6H90 | 29344 | iisexpress | Info | LoggerService.LoggerManager | Here is info message from the controller.
2024-01-23 09:53:28.3687 | DESKTOP-9VG6H90 | 29344 | iisexpress | Debug | LoggerService.LoggerManager | Here is debug message from the controller.
2024-01-23 09:53:28.3687 | DESKTOP-9VG6H90 | 29344 | iisexpress | Warn | LoggerService.LoggerManager | Here is warn message from the controller.
2024-01-23 09:53:28.3687 | DESKTOP-9VG6H90 | 29344 | iisexpress | Error | LoggerService.LoggerManager | Here is error message from the controller.
