2024-01-25 09:24:40.7393 | DESKTOP-9VG6H90 | 30820 | iisexpress | Info | LoggerService.LoggerManager | Here is info message from the controller.
2024-01-25 09:24:40.7777 | DESKTOP-9VG6H90 | 30820 | iisexpress | Debug | LoggerService.LoggerManager | Here is debug message from the controller.
2024-01-25 09:24:40.7777 | DESKTOP-9VG6H90 | 30820 | iisexpress | Warn | LoggerService.LoggerManager | Here is warn message from the controller.
2024-01-25 09:24:40.7777 | DESKTOP-9VG6H90 | 30820 | iisexpress | Error | LoggerService.LoggerManager | Here is error message from the controller.
2024-01-25 10:30:10.7027 | DESKTOP-9VG6H90 | 30820 | iisexpress | Info | LoggerService.LoggerManager | Here is info message from the controller.
2024-01-25 10:30:10.7027 | DESKTOP-9VG6H90 | 30820 | iisexpress | Debug | LoggerService.LoggerManager | Here is debug message from the controller.
2024-01-25 10:30:10.7027 | DESKTOP-9VG6H90 | 30820 | iisexpress | Warn | LoggerService.LoggerManager | Here is warn message from the controller.
2024-01-25 10:30:10.7027 | DESKTOP-9VG6H90 | 30820 | iisexpress | Error | LoggerService.LoggerManager | Here is error message from the controller.
2024-01-25 10:33:53.2382 | DESKTOP-9VG6H90 | 30820 | iisexpress | Info | LoggerService.LoggerManager | Here is info message from the controller.
2024-01-25 10:33:53.2382 | DESKTOP-9VG6H90 | 30820 | iisexpress | Debug | LoggerService.LoggerManager | Here is debug message from the controller.
2024-01-25 10:33:53.2382 | DESKTOP-9VG6H90 | 30820 | iisexpress | Warn | LoggerService.LoggerManager | Here is warn message from the controller.
2024-01-25 10:33:53.2382 | DESKTOP-9VG6H90 | 30820 | iisexpress | Error | LoggerService.LoggerManager | Here is error message from the controller.
2024-01-25 10:34:46.7419 | DESKTOP-9VG6H90 | 30820 | iisexpress | Info | LoggerService.LoggerManager | Here is info message from the controller.
2024-01-25 10:34:46.7419 | DESKTOP-9VG6H90 | 30820 | iisexpress | Debug | LoggerService.LoggerManager | Here is debug message from the controller.
2024-01-25 10:34:46.7419 | DESKTOP-9VG6H90 | 30820 | iisexpress | Warn | LoggerService.LoggerManager | Here is warn message from the controller.
2024-01-25 10:34:46.7419 | DESKTOP-9VG6H90 | 30820 | iisexpress | Error | LoggerService.LoggerManager | Here is error message from the controller.
2024-01-25 10:35:02.7166 | DESKTOP-9VG6H90 | 30820 | iisexpress | Info | LoggerService.LoggerManager | Here is info message from the controller.
2024-01-25 10:35:02.7166 | DESKTOP-9VG6H90 | 30820 | iisexpress | Debug | LoggerService.LoggerManager | Here is debug message from the controller.
