2024-01-22 17:27:31.0666 | DESKTOP-9VG6H90 | 50940 | iisexpress | Debug | LoggerService.LoggerManager | Here is debug message from the controller.
2024-01-22 17:27:31.0666 | DESKTOP-9VG6H90 | 50940 | iisexpress | Warn | LoggerService.LoggerManager | Here is warn message from the controller.
2024-01-22 17:27:31.0666 | DESKTOP-9VG6H90 | 50940 | iisexpress | Error | LoggerService.LoggerManager | Here is error message from the controller.
2024-01-22 17:34:39.9202 | DESKTOP-9VG6H90 | 44280 | iisexpress | Info | LoggerService.LoggerManager | Here is info message from the controller.
2024-01-22 17:34:39.9323 | DESKTOP-9VG6H90 | 44280 | iisexpress | Debug | LoggerService.LoggerManager | Here is debug message from the controller.
2024-01-22 17:34:39.9323 | DESKTOP-9VG6H90 | 44280 | iisexpress | Warn | LoggerService.LoggerManager | Here is warn message from the controller.
2024-01-22 17:34:39.9323 | DESKTOP-9VG6H90 | 44280 | iisexpress | Error | LoggerService.LoggerManager | Here is error message from the controller.
2024-01-22 17:34:53.4833 | DESKTOP-9VG6H90 | 44280 | iisexpress | Info | LoggerService.LoggerManager | Here is info message from the controller.
2024-01-22 17:34:53.4833 | DESKTOP-9VG6H90 | 44280 | iisexpress | Debug | LoggerService.LoggerManager | Here is debug message from the controller.
2024-01-22 17:34:53.4833 | DESKTOP-9VG6H90 | 44280 | iisexpress | Warn | LoggerService.LoggerManager | Here is warn message from the controller.
2024-01-22 17:34:53.4833 | DESKTOP-9VG6H90 | 44280 | iisexpress | Error | LoggerService.LoggerManager | Here is error message from the controller.
2024-01-22 17:35:06.5187 | DESKTOP-9VG6H90 | 44280 | iisexpress | Info | LoggerService.LoggerManager | Here is info message from the controller.
2024-01-22 17:35:06.5187 | DESKTOP-9VG6H90 | 44280 | iisexpress | Debug | LoggerService.LoggerManager | Here is debug message from the controller.
2024-01-22 17:35:06.5187 | DESKTOP-9VG6H90 | 44280 | iisexpress | Warn | LoggerService.LoggerManager | Here is warn message from the controller.
2024-01-22 17:35:06.5187 | DESKTOP-9VG6H90 | 44280 | iisexpress | Error | LoggerService.LoggerManager | Here is error message from the controller.
2024-01-22 17:35:39.1623 | DESKTOP-9VG6H90 | 44280 | iisexpress | Info | LoggerService.LoggerManager | Here is info message from the controller.
2024-01-22 17:35:39.1623 | DESKTOP-9VG6H90 | 44280 | iisexpress | Debug | LoggerService.LoggerManager | Here is debug message from the controller.
2024-01-22 17:35:39.1623 | DESKTOP-9VG6H90 | 44280 | iisexpress | Warn | LoggerService.LoggerManager | Here is warn message from the controller.
2024-01-22 17:35:39.1623 | DESKTOP-9VG6H90 | 44280 | iisexpress | Error | LoggerService.LoggerManager | Here is error message from the controller.
2024-01-22 17:37:40.1642 | DESKTOP-9VG6H90 | 44280 | iisexpress | Info | LoggerService.LoggerManager | Here is info message from the controller.
2024-01-22 17:37:40.1642 | DESKTOP-9VG6H90 | 44280 | iisexpress | Debug | LoggerService.LoggerManager | Here is debug message from the controller.
2024-01-22 17:37:40.1642 | DESKTOP-9VG6H90 | 44280 | iisexpress | Warn | LoggerService.LoggerManager | Here is warn message from the controller.
2024-01-22 17:37:40.1642 | DESKTOP-9VG6H90 | 44280 | iisexpress | Error | LoggerService.LoggerManager | Here is error message from the controller.
2024-01-22 17:37:43.9975 | DESKTOP-9VG6H90 | 44280 | iisexpress | Info | LoggerService.LoggerManager | Here is info message from the controller.
2024-01-22 17:37:43.9975 | DESKTOP-9VG6H90 | 44280 | iisexpress | Debug | LoggerService.LoggerManager | Here is debug message from the controller.
2024-01-22 17:37:43.9975 | DESKTOP-9VG6H90 | 44280 | iisexpress | Warn | LoggerService.LoggerManager | Here is warn message from the controller.
2024-01-22 17:37:43.9975 | DESKTOP-9VG6H90 | 44280 | iisexpress | Error | LoggerService.LoggerManager | Here is error message from the controller.
2024-01-22 17:37:47.1533 | DESKTOP-9VG6H90 | 44280 | iisexpress | Info | LoggerService.LoggerManager | Here is info message from the controller.
2024-01-22 17:37:47.1533 | DESKTOP-9VG6H90 | 44280 | iisexpress | Debug | LoggerService.LoggerManager | Here is debug message from the controller.
