2024-01-24 09:36:54.4324 | DESKTOP-9VG6H90 | 10244 | iisexpress | Info | LoggerService.LoggerManager | Here is info message from the controller.
2024-01-24 09:36:54.4936 | DESKTOP-9VG6H90 | 10244 | iisexpress | Debug | LoggerService.LoggerManager | Here is debug message from the controller.
2024-01-24 09:36:54.4936 | DESKTOP-9VG6H90 | 10244 | iisexpress | Warn | LoggerService.LoggerManager | Here is warn message from the controller.
2024-01-24 09:36:54.4936 | DESKTOP-9VG6H90 | 10244 | iisexpress | Error | LoggerService.LoggerManager | Here is error message from the controller.
2024-01-24 09:37:04.0288 | DESKTOP-9VG6H90 | 10244 | iisexpress | Info | LoggerService.LoggerManager | Here is info message from the controller.
2024-01-24 09:37:04.0288 | DESKTOP-9VG6H90 | 10244 | iisexpress | Debug | LoggerService.LoggerManager | Here is debug message from the controller.
2024-01-24 09:37:04.0288 | DESKTOP-9VG6H90 | 10244 | iisexpress | Warn | LoggerService.LoggerManager | Here is warn message from the controller.
2024-01-24 09:37:04.0288 | DESKTOP-9VG6H90 | 10244 | iisexpress | Error | LoggerService.LoggerManager | Here is error message from the controller.
2024-01-24 09:37:27.4177 | DESKTOP-9VG6H90 | 10244 | iisexpress | Info | LoggerService.LoggerManager | Here is info message from the controller.
2024-01-24 09:37:27.4177 | DESKTOP-9VG6H90 | 10244 | iisexpress | Debug | LoggerService.LoggerManager | Here is debug message from the controller.
2024-01-24 09:37:27.4177 | DESKTOP-9VG6H90 | 10244 | iisexpress | Warn | LoggerService.LoggerManager | Here is warn message from the controller.
2024-01-24 09:37:27.4177 | DESKTOP-9VG6H90 | 10244 | iisexpress | Error | LoggerService.LoggerManager | Here is error message from the controller.
2024-01-24 09:37:46.4553 | DESKTOP-9VG6H90 | 10244 | iisexpress | Info | LoggerService.LoggerManager | Here is info message from the controller.
2024-01-24 09:37:46.4553 | DESKTOP-9VG6H90 | 10244 | iisexpress | Debug | LoggerService.LoggerManager | Here is debug message from the controller.
2024-01-24 09:37:46.4553 | DESKTOP-9VG6H90 | 10244 | iisexpress | Warn | LoggerService.LoggerManager | Here is warn message from the controller.
2024-01-24 09:37:46.4553 | DESKTOP-9VG6H90 | 10244 | iisexpress | Error | LoggerService.LoggerManager | Here is error message from the controller.
2024-01-24 09:38:21.5859 | DESKTOP-9VG6H90 | 10244 | iisexpress | Info | LoggerService.LoggerManager | Here is info message from the controller.
2024-01-24 09:38:21.5859 | DESKTOP-9VG6H90 | 10244 | iisexpress | Debug | LoggerService.LoggerManager | Here is debug message from the controller.
2024-01-24 09:38:21.5859 | DESKTOP-9VG6H90 | 10244 | iisexpress | Warn | LoggerService.LoggerManager | Here is warn message from the controller.
2024-01-24 09:38:21.5859 | DESKTOP-9VG6H90 | 10244 | iisexpress | Error | LoggerService.LoggerManager | Here is error message from the controller.
2024-01-24 09:38:40.7472 | DESKTOP-9VG6H90 | 10244 | iisexpress | Info | LoggerService.LoggerManager | Here is info message from the controller.
2024-01-24 09:38:40.7472 | DESKTOP-9VG6H90 | 10244 | iisexpress | Debug | LoggerService.LoggerManager | Here is debug message from the controller.
2024-01-24 09:38:40.7472 | DESKTOP-9VG6H90 | 10244 | iisexpress | Warn | LoggerService.LoggerManager | Here is warn message from the controller.
2024-01-24 09:38:40.7472 | DESKTOP-9VG6H90 | 10244 | iisexpress | Error | LoggerService.LoggerManager | Here is error message from the controller.
2024-01-24 09:38:52.0777 | DESKTOP-9VG6H90 | 10244 | iisexpress | Info | LoggerService.LoggerManager | Here is info message from the controller.
2024-01-24 09:38:52.0777 | DESKTOP-9VG6H90 | 10244 | iisexpress | Debug | LoggerService.LoggerManager | Here is debug message from the controller.
2024-01-24 09:38:52.0777 | DESKTOP-9VG6H90 | 10244 | iisexpress | Warn | LoggerService.LoggerManager | Here is warn message from the controller.
2024-01-24 09:38:52.0777 | DESKTOP-9VG6H90 | 10244 | iisexpress | Error | LoggerService.LoggerManager | Here is error message from the controller.
2024-01-24 09:39:02.1514 | DESKTOP-9VG6H90 | 10244 | iisexpress | Info | LoggerService.LoggerManager | Here is info message from the controller.
2024-01-24 09:39:02.1514 | DESKTOP-9VG6H90 | 10244 | iisexpress | Debug | LoggerService.LoggerManager | Here is debug message from the controller.
2024-01-24 09:39:02.1514 | DESKTOP-9VG6H90 | 10244 | iisexpress | Warn | LoggerService.LoggerManager | Here is warn message from the controller.
2024-01-24 09:39:02.1514 | DESKTOP-9VG6H90 | 10244 | iisexpress | Error | LoggerService.LoggerManager | Here is error message from the controller.
2024-01-24 09:42:20.6980 | DESKTOP-9VG6H90 | 10244 | iisexpress | Info | LoggerService.LoggerManager | Here is info message from the controller.
2024-01-24 09:42:20.6980 | DESKTOP-9VG6H90 | 10244 | iisexpress | Debug | LoggerService.LoggerManager | Here is debug message from the controller.
2024-01-24 09:42:20.6980 | DESKTOP-9VG6H90 | 10244 | iisexpress | Warn | LoggerService.LoggerManager | Here is warn message from the controller.
2024-01-24 09:42:20.6980 | DESKTOP-9VG6H90 | 10244 | iisexpress | Error | LoggerService.LoggerManager | Here is error message from the controller.
2024-01-24 09:42:21.4315 | DESKTOP-9VG6H90 | 10244 | iisexpress | Info | LoggerService.LoggerManager | Here is info message from the controller.
2024-01-24 09:42:21.4315 | DESKTOP-9VG6H90 | 10244 | iisexpress | Debug | LoggerService.LoggerManager | Here is debug message from the controller.
2024-01-24 09:42:21.4315 | DESKTOP-9VG6H90 | 10244 | iisexpress | Warn | LoggerService.LoggerManager | Here is warn message from the controller.
2024-01-24 09:42:21.4315 | DESKTOP-9VG6H90 | 10244 | iisexpress | Error | LoggerService.LoggerManager | Here is error message from the controller.
2024-01-24 09:42:49.4460 | DESKTOP-9VG6H90 | 10244 | iisexpress | Info | LoggerService.LoggerManager | Here is info message from the controller.
2024-01-24 09:42:49.4460 | DESKTOP-9VG6H90 | 10244 | iisexpress | Debug | LoggerService.LoggerManager | Here is debug message from the controller.
